image,mode,gt,size,anchor,x,y,stride,inside_gt,inside_fixed,before_conflict,after_conflict,iou,rank_ciou,class_score,alignment,target_weight
images/train/0000084_01436_d_0000004.jpg,tal,3,small,3903,28.0,316.0,8.0,1,1,0,0,0.700683057308197,0.6941624879837036,0.0929594561457634,0.034112509340047836,0.0
images/train/0000084_01436_d_0000004.jpg,tal,3,small,3904,36.0,316.0,8.0,1,1,1,1,0.8559267520904541,0.8540342450141907,0.052707523107528687,0.08908160030841827,0.19005733728408813
images/train/0000084_01436_d_0000004.jpg,tal,3,small,4003,28.0,324.0,8.0,1,1,1,1,0.9018229246139526,0.9016246795654297,0.6187979578971863,0.4225996732711792,0.9016246795654297
images/train/0000084_01436_d_0000004.jpg,tal,3,small,4004,36.0,324.0,8.0,1,1,1,1,0.8052914142608643,0.8043741583824158,0.40611857175827026,0.17261363565921783,0.36827459931373596
images/train/0000084_01436_d_0000004.jpg,tal,3,small,4103,28.0,332.0,8.0,1,1,1,1,0.8311692476272583,0.8304981589317322,0.6949105858802795,0.2735247015953064,0.5835703015327454
images/train/0000084_01436_d_0000004.jpg,tal,3,small,4104,36.0,332.0,8.0,1,1,1,1,0.8988576531410217,0.8988390564918518,0.4687768518924713,0.3610560894012451,0.7703202366828918
images/train/0000084_01436_d_0000004.jpg,tal,3,small,4203,28.0,340.0,8.0,1,1,1,1,0.7153722643852234,0.7125961184501648,0.5307034850120544,0.09538644552230835,0.20350885391235352
images/train/0000084_01436_d_0000004.jpg,tal,3,small,4204,36.0,340.0,8.0,1,1,1,1,0.8560923933982849,0.8554168939590454,0.40353378653526306,0.24888968467712402,0.5310109853744507
images/train/0000084_01436_d_0000004.jpg,tal,3,small,4303,28.0,348.0,8.0,1,1,0,0,0.6832964420318604,0.6795095205307007,0.29568371176719666,0.05352873355150223,0.0
images/train/0000084_01436_d_0000004.jpg,tal,3,small,4304,36.0,348.0,8.0,1,1,1,1,0.8756958246231079,0.8753765225410461,0.21918697655200958,0.21065741777420044,0.44944173097610474
images/train/0000084_01436_d_0000004.jpg,tal,3,small,10951,24.0,312.0,16.0,1,1,0,0,0.6602177619934082,0.6533714532852173,0.01580062136054039,0.009779080748558044,0.0
images/train/0000084_01436_d_0000004.jpg,tal,3,small,10952,40.0,312.0,16.0,1,1,0,0,0.5484596490859985,0.5403091311454773,0.0004835371219087392,0.0005471025942824781,0.0
images/train/0000084_01436_d_0000004.jpg,tal,3,small,11001,24.0,328.0,16.0,1,1,1,1,0.7984497547149658,0.7973819375038147,0.5489049553871155,0.19043508172035217,0.406296968460083
images/train/0000084_01436_d_0000004.jpg,tal,3,small,11002,40.0,328.0,16.0,1,1,0,0,0.62913978099823,0.6255389451980591,0.10162326693534851,0.019099531695246696,0.0
